Table,Year,Data_item,Region,State,Value,Units
Milk cows,1970,"Milk cows, average inventory",Northeast,Connecticut,59.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Northeast,Delaware,13.50,Thousand head
Milk cows,1970,"Milk cows, average inventory",Northeast,Maine,62.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Northeast,Maryland,152.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Northeast,Massachusetts,60.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Northeast,New Hampshire,36.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Northeast,New Jersey,68.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Northeast,New York,950.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Northeast,Pennsylvania,705.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Northeast,Rhode Island,6.90,Thousand head
Milk cows,1970,"Milk cows, average inventory",Northeast,Vermont,194.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Northeast,Total region,2306.40,Thousand head
Milk cows,1970,"Milk cows, average inventory",Lake States,Michigan,433.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Lake States,Minnesota,949.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Lake States,Wisconsin,1814.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Lake States,Total region,3196.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Corn Belt,Illinois,297.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Corn Belt,Indiana,237.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Corn Belt,Iowa,497.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Corn Belt,Missouri,337.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Corn Belt,Ohio,446.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Corn Belt,Total region,1814.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Northern Plains,Kansas,188.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Northern Plains,Nebraska,174.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Northern Plains,North Dakota,137.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Northern Plains,South Dakota,183.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Northern Plains,Total region,682.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Appalachia,Kentucky,337.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Appalachia,North Carolina,170.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Appalachia,Tennessee,288.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Appalachia,Virginia,197.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Appalachia,West Virginia,52.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Appalachia,Total region,1044.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Southeast,Alabama,122.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Southeast,Florida,191.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Southeast,Georgia,146.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Southeast,South Carolina,64.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Southeast,Total region,523.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Delta States,Arkansas,97.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Delta States,Louisiana,164.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Delta States,Mississippi,179.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Delta States,Total region,440.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Southern Plains,Oklahoma,142.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Southern Plains,Texas,355.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Southern Plains,Total region,497.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Mountain Region,Arizona,50.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Mountain Region,Colorado,81.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Mountain Region,Idaho,144.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Mountain Region,Montana,39.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Mountain Region,Nevada,13.90,Thousand head
Milk cows,1970,"Milk cows, average inventory",Mountain Region,New Mexico,32.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Mountain Region,Utah,78.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Mountain Region,Wyoming,16.50,Thousand head
Milk cows,1970,"Milk cows, average inventory",Mountain Region,Total region,454.40,Thousand head
Milk cows,1970,"Milk cows, average inventory",West Coast,California,755.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",West Coast,Oregon,97.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",West Coast,Washington,176.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",West Coast,Total region,1028.00,Thousand head
Milk cows,1970,"Milk cows, average inventory",Other States,Alaska,1.80,Thousand head
Milk cows,1970,"Milk cows, average inventory",Other States,Hawaii,12.90,Thousand head
Milk cows,1970,"Milk cows, average inventory",Other States,Total region,14.70,Thousand head
Milk cows,1970,"Milk cows, average inventory",United States,Total region,12000.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Northeast,Connecticut,58.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Northeast,Delaware,12.80,Thousand head
Milk cows,1971,"Milk cows, average inventory",Northeast,Maine,61.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Northeast,Maryland,148.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Northeast,Massachusetts,59.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Northeast,New Hampshire,35.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Northeast,New Jersey,63.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Northeast,New York,935.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Northeast,Pennsylvania,694.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Northeast,Rhode Island,6.30,Thousand head
Milk cows,1971,"Milk cows, average inventory",Northeast,Vermont,195.00,Thousand head
